iter	Passed	Remaining
404	6361	9346
405	6373	9324
406	6385	9303
407	6398	9283
408	6410	9263
409	6422	9242
410	6436	9224
411	6451	9208
412	6465	9189
413	6478	9169
414	6490	9149
415	6502	9128
416	6516	9111
417	6532	9095
418	6543	9073
419	6554	9051
420	6567	9031
421	6578	9010
422	6589	8988
423	6602	8968
424	6617	8952
425	6628	8932
426	6641	8912
427	6655	8894
428	6667	8874
429	6679	8853
430	6692	8834
431	6705	8816
432	6717	8796
433	6729	8775
434	6740	8755
435	6752	8735
436	6764	8715
437	6775	8693
438	6786	8672
439	6798	8652
440	6810	8632
441	6822	8612
442	6835	8595
443	6850	8579
444	6863	8559
445	6875	8540
446	6887	8520
447	6898	8499
448	6909	8479
449	6921	8459
450	6933	8440
451	6948	8423
452	6961	8405
453	6973	8386
454	6984	8366
455	6997	8348
456	7013	8332
457	7025	8313
458	7038	8296
459	7054	8280
460	7065	8260
461	7076	8240
462	7089	8223
463	7104	8206
464	7115	8186
465	7127	8167
466	7141	8151
467	7158	8137
468	7171	8119
469	7182	8099
470	7193	8079
471	7206	8062
472	7222	8046
473	7234	8027
474	7246	8009
475	7262	7994
476	7274	7976
477	7287	7957
478	7298	7937
479	7309	7918
480	7320	7898
481	7332	7880
482	7349	7866
483	7360	7846
484	7372	7828
485	7384	7810
486	7397	7792
487	7412	7776
488	7423	7757
489	7434	7738
490	7447	7720
491	7462	7705
492	7473	7685
493	7485	7667
494	7497	7648
495	7507	7628
496	7519	7609
497	7531	7592
498	7542	7572
499	7553	7553
500	7565	7535
501	7578	7517
502	7590	7500
503	7604	7483
504	7617	7466
505	7629	7448
506	7642	7431
507	7654	7413
508	7667	7396
509	7681	7380
510	7694	7362
511	7709	7347
512	7726	7334
513	7738	7317
514	7752	7301
515	7766	7284
516	7783	7271
517	7796	7254
518	7810	7238
519	7822	7220
520	7833	7201
521	7845	7183
522	7856	7165
523	7867	7146
524	7878	7128
525	7890	7110
526	7901	7092
527	7913	7074
528	7928	7058
529	7945	7046
530	7958	7029
531	7969	7011
532	7983	6994
533	7996	6978
534	8010	6961
535	8021	6943
536	8032	6925
537	8044	6907
538	8056	6890
539	8067	6872
540	8080	6855
541	8094	6840
542	8108	6824
543	8122	6808
544	8135	6792
545	8149	6776
546	8162	6759
547	8176	6744
548	8189	6727
549	8203	6712
550	8218	6697
551	8230	6679
552	8244	6664
553	8258	6648
554	8272	6633
555	8286	6617
556	8299	6601
557	8312	6584
558	8325	6568
559	8338	6551
560	8349	6534
561	8361	6516
562	8373	6499
563	8385	6482
564	8398	6466
565	8410	6449
566	8423	6432
567	8435	6415
568	8448	6399
569	8459	6382
570	8471	6364
571	8483	6347
572	8495	6331
573	8507	6314
574	8521	6298
575	8533	6281
576	8546	6265
577	8557	6247
578	8571	6232
579	8583	6215
580	8595	6198
581	8607	6181
582	8621	6166
583	8635	6151
584	8649	6136
585	8663	6120
586	8675	6103
587	8686	6086
588	8697	6069
589	8709	6052
590	8720	6034
591	8731	6017
592	8743	6001
593	8754	5983
594	8766	5966
595	8777	5950
596	8790	5934
597	8803	5917
598	8816	5901
599	8831	5887
600	8847	5873
601	8862	5859
602	8876	5843
603	8891	5829
604	8908	5816
605	8919	5799
606	8932	5783
607	8944	5767
608	8957	5751
609	8969	5734
610	8980	5717
611	8992	5701
612	9005	5685
613	9016	5668
614	9028	5652
615	9041	5636
616	9052	5619
617	9064	5602
618	9075	5586
619	9088	5570
620	9100	5553
621	9111	5537
622	9123	5521
623	9135	5504
624	9146	5487
625	9158	5471
626	9170	5455
627	9181	5438
628	9193	5422
629	9206	5407
630	9218	5390
631	9230	5374
632	9243	5359
633	9255	5342
634	9268	5327
635	9279	5310
636	9290	5294
637	9302	5278
638	9314	5262
639	9325	5245
640	9337	5229
641	9350	5213
642	9361	5197
643	9373	5181
644	9386	5165
645	9397	5149
646	9409	5133
647	9422	5118
648	9435	5102
649	9446	5086
650	9458	5070
651	9469	5054
652	9482	5038
653	9492	5022
654	9504	5006
655	9516	4990
656	9527	4974
657	9538	4957
658	9550	4941
659	9561	4925
660	9573	4909
661	9584	4893
662	9597	4878
663	9608	4861
664	9619	4845
665	9631	4830
